region_name,Experiment,Model,region_mae,region_bias
Липецкая область,B,LinearRegression,6.193522308470236,2.8957607833570993
Магаданская область,B,LinearRegression,8.345070697884447,1.929818698734307
Московская область,B,LinearRegression,5.742420388314781,2.616905787881173
Мурманская область,B,LinearRegression,10.790735422137141,4.682563760306301
Ненецкий автономный округ,B,LinearRegression,13.17926377694237,3.5228111416239947
Нижегородская область,B,LinearRegression,5.356947127114924,0.2961385866815049
Новгородская область,B,LinearRegression,8.861155983199664,5.361533892229521
Новосибирская область,B,LinearRegression,9.845703984431852,2.73953315950378
Омская область,B,LinearRegression,12.90968065993908,3.399559122577275
Оренбургская область,B,LinearRegression,9.911278136407036,3.134697943152197
Орловская область,B,LinearRegression,9.173781340745386,4.751311133543213
Пензенская область,B,LinearRegression,2.267452210571083,0.7262477484345146
Пермский край,B,LinearRegression,9.07696947686015,2.3967613769310816
Приморский край,B,LinearRegression,11.44818807272994,2.1535734071151658
Псковская область,B,LinearRegression,7.506101178908582,3.956865677818231
Республика Адыгея (Адыгея),B,LinearRegression,3.4297232474385546,2.271396023848042
Республика Алтай,B,LinearRegression,11.663704204893952,2.369307659422976
Республика Башкортостан,B,LinearRegression,2.651426740094873,1.9259806542321147
Республика Бурятия,B,LinearRegression,11.436646720425676,2.05298105795753
Республика Дагестан,B,LinearRegression,2.1612042765398667,2.1612042765398667
Республика Ингушетия,B,LinearRegression,1.7209697846656289,0.018736939377976974
Республика Калмыкия,B,LinearRegression,10.806753694380047,2.94837041720213
Республика Карелия,B,LinearRegression,8.222068865830678,7.333492824333369
Республика Коми,B,LinearRegression,13.663843384716044,3.9563637481178904
Республика Марий Эл,B,LinearRegression,15.632220185653296,2.6009165729048767
Республика Мордовия,B,LinearRegression,2.9376471792400927,-1.7570102773158949
Республика Саха (Якутия),B,LinearRegression,17.20399816019758,2.491713792480946
Республика Северная Осетия - Алания,B,LinearRegression,5.854757658298246,5.854757658298246
Республика Татарстан (Татарстан),B,LinearRegression,5.157414985555833,-1.908620107810572
Республика Тыва,B,LinearRegression,2.2168938148098127,-1.3720618748495488
Республика Хакасия,B,LinearRegression,12.839399365395437,1.7975414490340007
Ростовская область,B,LinearRegression,5.290436552354686,0.7553961485520393
Рязанская область,B,LinearRegression,3.121950213087421,1.6485312424059468
Самарская область,B,LinearRegression,7.126676309287941,1.4063170901937607
Саратовская область,B,LinearRegression,6.6401162947310715,-2.1287934838984364
Сахалинская область,B,LinearRegression,10.905051953125868,3.2729688002836728
Свердловская область,B,LinearRegression,11.972746234836313,4.554260953537006
Смоленская область,B,LinearRegression,6.570055692071939,2.13456464311674
Ставропольский край,B,LinearRegression,4.690383141930687,2.5223027512313068
Тамбовская область,B,LinearRegression,3.0630482627133584,3.0630482627133584
Тверская область,B,LinearRegression,8.39248785654297,4.106987963785038
Томская область,B,LinearRegression,10.219335577705978,3.4821279362657243
Тульская область,B,LinearRegression,4.288325196446794,2.5060994606308777
Тюменская область,B,LinearRegression,5.901951987714145,3.229758832757583
Удмуртская Республика,B,LinearRegression,10.721193596235274,2.731535399813767
Ульяновская область,B,LinearRegression,12.589497597271903,0.6918518922984749
Хабаровский край,B,LinearRegression,13.656715699085586,4.9975717869309335
Ханты-Мансийский автономный округ - Югра,B,LinearRegression,8.089463421411502,1.7298085271888801
Челябинская область,B,LinearRegression,10.808045477586553,4.146716567813777
Чеченская Республика,B,LinearRegression,5.108038631615421,0.3215587910883993
Чувашская Республика - Чувашия,B,LinearRegression,11.929868666932679,4.95274417730969
Чукотский автономный округ,B,LinearRegression,12.617454428559242,7.0835600734028645
Ямало-Ненецкий автономный округ,B,LinearRegression,6.215216947302111,0.31045034265892585
Ярославская область,B,LinearRegression,11.965125428442624,4.651887191371935
город Москва,B,LinearRegression,15.476533975953885,2.5311223532670417
город Санкт-Петербург,B,LinearRegression,7.399930090736093,4.165339691619199
Алтайский край,A,RandomForest,4.710122970181586,1.615229107194022
Амурская область,A,RandomForest,6.683631672157079,-2.374298656387978
Архангельская область,A,RandomForest,6.135865071012522,3.3794999879557266
Астраханская область,A,RandomForest,4.310215646277503,2.5511961175425686
Белгородская область,A,RandomForest,5.486371669647537,-1.5407615797039298
Брянская область,A,RandomForest,10.82475615547638,-4.432041359597089
Владимирская область,A,RandomForest,3.2624831908102823,-0.1787890188894424
Волгоградская область,A,RandomForest,3.7647333020326155,-2.1925583642525037
Вологодская область,A,RandomForest,7.9700871930850505,3.518968834709425
Воронежская область,A,RandomForest,9.837559905617644,-3.1893123877635983
Еврейская автономная область,A,RandomForest,4.305431020157388,-2.5284866711395657
Забайкальский край,A,RandomForest,5.479539842322687,-1.8296439715215083
Ивановская область,A,RandomForest,1.6702983484969245,-0.2510191343993107
Иркутская область,A,RandomForest,4.808246770349546,-1.224087323122798
Кабардино-Балкарская Республика,A,RandomForest,2.1693731093443964,0.07101401838046713
Калининградская область,A,RandomForest,3.093336649356928,-0.7312527430405117
Калужская область,A,RandomForest,3.390156253139374,-2.07845527679582
Камчатский край,A,RandomForest,5.985436423011393,-1.7026195909522865
Карачаево-Черкесская Республика,A,RandomForest,3.2448952410595937,3.2448952410595937
Кемеровская область - Кузбасс,A,RandomForest,4.0338086525638035,1.9842598470583848
Кировская область,A,RandomForest,5.954709893617867,-0.5794233618428516
Костромская область,A,RandomForest,7.990225330991168,2.9743717553872835
Краснодарский край,A,RandomForest,11.144060724777354,-1.7801324474050346
Красноярский край,A,RandomForest,4.210102875809321,0.38380858048119215
Курганская область,A,RandomForest,2.5109268852493893,0.3718964350159002
Курская область,A,RandomForest,6.675600117462731,-2.192198840261882
Ленинградская область,A,RandomForest,3.2644118414784256,2.5504606751057604
Липецкая область,A,RandomForest,7.324209259550301,-3.220469643880506
Магаданская область,A,RandomForest,2.67853457298893,-0.7048212072688381
Московская область,A,RandomForest,2.9115126298401193,2.114844596948276
Мурманская область,A,RandomForest,7.07373634147827,4.087434571649909
Ненецкий автономный округ,A,RandomForest,2.5875273806031722,-1.9164507688989403
Нижегородская область,A,RandomForest,8.75160693252745,-3.380368472659681
Новгородская область,A,RandomForest,1.5596207327407772,-0.12803696238531556
Новосибирская область,A,RandomForest,6.386112781573398,1.8700434974886757
Омская область,A,RandomForest,4.131011451830215,-1.5423816983708665
Оренбургская область,A,RandomForest,4.1892657926887855,-1.8801438726101427
